,gene,subject,PID,alnLength,mismatchCount,gapOpenCount,queryStart,queryEnd,subjectStart,subjectEnd,eVal,bitScore,gene_length,COV,BBH
0,YAL067C,YALI1_F18152g,53.993,576,237,5,18,575,3,568,0.0,630.0,593,0.9713322091062394,<=>
36,YAL062W,YALI1_F23664g,68.192,459,137,4,3,457,5,458,0.0,634.0,457,1.0043763676148796,->
37,YAL061W,YALI1_E15452g,29.706,340,207,9,20,354,22,334,6.560000000000001e-43,152.0,417,0.815347721822542,->
50,YAL060W,YALI1_B16309g,34.0,100,62,3,139,234,85,184,2.79e-07,50.1,382,0.2617801047120419,<=>
53,YAL058W,YALI1_B17493g,36.061,391,229,13,47,431,55,430,1.0000000000000001e-57,199.0,502,0.7788844621513944,<=>
54,YAL054C,YALI1_F08845g,64.596,644,213,5,68,711,24,652,0.0,861.0,713,0.9032258064516129,<=>
70,YAL053W,YALI1_C03378g,39.817,766,391,12,36,751,17,762,0.0,554.0,783,0.9782886334610472,<=>
92,YAL049C,YALI1_F38191g,40.0,235,132,4,9,240,6,234,9.62e-53,169.0,246,0.9552845528455285,<=>
93,YAL048C,YALI1_F10786g,54.108,499,195,4,149,622,2,491,0.0,533.0,662,0.7537764350453172,<=>
102,YAL046C,YALI1_F21547g,55.556,72,32,0,39,110,42,113,1.62e-25,90.9,118,0.6101694915254238,<=>
105,YAL044W-A,YALI1_E00948g,44.643,112,56,3,1,110,13,120,2.6e-28,97.8,110,1.018181818181818,<=>
107,YAL044C,YALI1_E00574g,38.728,173,94,4,1,166,1,168,1.45e-37,125.0,170,1.0176470588235293,<=>
109,YAL043C,YALI1_F05781g,26.991,226,114,7,96,299,83,279,3.76e-13,71.2,785,0.2878980891719745,<=>
110,YAL042W,YALI1_C18268g,39.329,417,230,8,4,415,3,401,1.85e-102,308.0,415,1.0048192771084337,<=>
113,YAL041W,YALI1_C20646g,36.569,443,239,10,135,558,128,547,1.2199999999999999e-82,280.0,854,0.5187353629976581,<=>
116,YAL040C,YALI1_C19636g,34.228,149,95,2,71,219,37,182,6.56e-28,113.0,580,0.25689655172413794,<=>
120,YAL039C,YALI1_C18011g,45.105,286,120,8,1,254,1,281,9.91e-78,236.0,269,1.063197026022305,<=>
122,YAL038W,YALI1_F12842g,67.864,501,156,2,2,497,11,511,0.0,714.0,500,1.002,<=>
123,YAL036C,YALI1_A00325g,79.404,369,75,1,1,369,1,368,0.0,603.0,369,1.0,<=>
127,YAL035W,YALI1_A01061g,62.333,823,263,8,216,1001,233,1045,0.0,971.0,1002,0.8213572854291418,<=>
133,YAL034W-A,YALI1_F09211g,29.866,298,167,7,1,268,1,286,1.54e-28,112.0,289,1.0311418685121108,<=>
134,YAL034C,YALI1_D14986g,66.935,124,40,1,290,413,280,402,4.3699999999999994e-52,177.0,413,0.30024213075060535,<=>
136,YAL033W,YALI1_B06487g,36.806,144,85,3,1,142,1,140,6.78e-21,82.4,173,0.8323699421965318,<=>
137,YAL032C,YALI1_C16395g,28.7,223,132,9,41,249,136,345,6.97e-15,74.3,379,0.5883905013192612,<=>
139,YAL030W,YALI1_A03487g,68.966,116,33,1,1,116,1,113,2.5e-45,140.0,117,0.9914529914529915,<=>
143,YAL029C,YALI1_E00510g,42.102,1532,738,32,1,1420,3,1497,0.0,1100.0,1471,1.0414683888511216,->
147,YAL026C,YALI1_E41057g,65.491,1162,377,10,158,1307,145,1294,0.0,1573.0,1355,0.8575645756457565,<=>
161,YAL025C,YALI1_C10730g,68.528,197,62,0,2,198,4,200,4.51e-105,307.0,306,0.6437908496732027,<=>
162,YAL024C,YALI1_E41206g,35.407,418,255,8,1019,1432,492,898,5.3300000000000006e-64,234.0,1435,0.2912891986062718,<=>
166,YAL023C,YALI1_C32184g,50.533,750,362,5,4,753,2,742,0.0,789.0,759,0.9881422924901185,<=>
170,YAL022C,YALI1_C32156g,32.207,444,250,12,76,512,1,400,1.8099999999999997e-52,181.0,517,0.8588007736943907,<=>
171,YAL021C,YALI1_B19962g,36.061,721,357,9,144,833,36,683,1.1e-149,454.0,837,0.8614097968936678,<=>
182,YAL019W,YALI1_F36610g,56.79,567,227,7,552,1115,364,915,0.0,645.0,1131,0.5013262599469496,<=>
207,YAL018C,YALI1_C27922g,24.681,235,166,6,68,294,94,325,1.28e-08,53.5,325,0.7230769230769231,->
285,YAL016W,YALI1_F01291g,46.935,620,306,8,31,634,7,619,0.0,566.0,635,0.9763779527559056,<=>
