,gene,subject,PID,alnLength,mismatchCount,gapOpenCount,queryStart,queryEnd,subjectStart,subjectEnd,eVal,bitScore,gene_length,COV,BBH
0,NP_001018030.1,XP_503774.1,41.791,335,180,5,5,338,5,325,3.21e-85,259.0,360,0.9305555555555556,<=>
5,NP_001027534.1,XP_505700.1,53.425,73,34,0,1,73,1,73,2.7899999999999998e-24,84.7,73,1.0,<=>
6,NP_001106172.4,XP_503721.1,23.571,140,98,2,11,150,3,133,0.000629,35.8,154,0.9090909090909091,<=>
8,NP_009305.1,NP_075426.2,69.565,368,112,0,2,369,7,374,2.14e-179,518.0,534,0.6891385767790262,->
13,NP_009306.1,NP_075426.2,70.588,323,95,0,2,324,7,329,5.5e-158,467.0,630,0.5126984126984127,<=>
21,NP_009307.2,NP_075427.2,65.6,250,86,0,2,251,7,256,5.68e-108,334.0,556,0.44964028776978415,<=>
29,NP_009308.2,NP_075429.2,49.299,428,188,10,2,414,7,420,4.6400000000000007e-129,376.0,415,1.0313253012048194,<=>
50,NP_009311.2,NP_075429.2,28.5,200,98,8,89,255,120,307,2.87e-05,43.5,354,0.5649717514124294,->
51,NP_009312.1,NP_075432.2,55.319,47,21,0,1,47,1,47,4.89e-13,54.3,48,0.9791666666666666,<=>
52,NP_009313.1,NP_075433.2,53.725,255,118,0,5,259,1,255,5.19e-91,267.0,259,0.9845559845559846,<=>
53,NP_009315.1,NP_075443.2,64.935,385,135,0,1,385,1,385,0.0,522.0,385,1.0,<=>
55,NP_009316.1,NP_075443.2,64.032,253,91,0,1,253,1,253,1.1e-116,351.0,638,0.39655172413793105,->
59,NP_009317.1,NP_075443.2,63.218,174,64,0,1,174,1,174,2.55e-75,241.0,517,0.3365570599613153,->
65,NP_009318.1,NP_075443.2,62.937,143,53,0,1,143,1,143,1.89e-60,199.0,423,0.3380614657210402,->
67,NP_009319.1,NP_075437.1,76.316,76,18,0,1,76,1,76,1.0100000000000001e-35,113.0,76,1.0,<=>
68,NP_009324.1,NP_075435.2,37.5,136,76,5,93,225,51,180,4.64e-19,79.7,235,0.5787234042553191,->
70,NP_009326.1,NP_075438.2,67.364,239,78,0,13,251,4,242,1.76e-127,359.0,251,0.952191235059761,<=>
