#Name,Accession,Start,Stop,Strand,GeneID,Locus,Locus tag,Protein product,Length,Protein Name
"chromosome A","NC_006067.1",2659,5277,"+",2906259,,"YALI0_A00110g","XP_499603.1",872,"YALI0A00110p"
"chromosome A","NC_006067.1",7045,8880,"+",2906265,,"YALI0_A00132g","XP_499604.1",611,"YALI0A00132p"
"chromosome A","NC_006067.1",11559,12653,"+",2906274,,"YALI0_A00154g","XP_499605.1",364,"YALI0A00154p"
"chromosome A","NC_006067.1",15861,18419,"+",2906266,,"YALI0_A00176g","XP_499606.1",852,"YALI0A00176p"
"chromosome A","NC_006067.1",20087,20857,"-",2906334,,"YALI0_A00198g","XP_499607.1",256,"YALI0A00198p"
"chromosome A","NC_006067.1",21944,23305,"+",2905847,,"YALI0_A00212g","XP_499608.1",340,"YALI0A00212p"
"chromosome A","NC_006067.1",24346,27588,"-",2905904,,"YALI0_A00264g","XP_499609.1",1080,"YALI0A00264p"
"chromosome A","NC_006067.1",29236,30342,"+",2905939,,"YALI0_A00286g","XP_499610.1",368,"YALI0A00286p"
"chromosome A","NC_006067.1",33576,34226,"-",2906599,,"YALI0_A00330g","XP_499611.1",216,"YALI0A00330p"
"chromosome A","NC_006067.1",37336,40249,"+",2905756,,"YALI0_A00352g","XP_499612.1",842,"YALI0A00352p"
"chromosome A","NC_006067.1",40641,41435,"-",2906297,,"YALI0_A00369g","XP_499613.2",264,"YALI0A00369p"
"chromosome A","NC_006067.1",42638,43495,"-",2905998,,"YALI0_A00374g","XP_499614.1",285,"YALI0A00374p"
"chromosome A","NC_006067.1",45641,47158,"-",2905829,,"YALI0_A00396g","XP_499615.1",505,"YALI0A00396p"
"chromosome A","NC_006067.1",48941,50560,"-",2906299,,"YALI0_A00418g","XP_499616.1",539,"YALI0A00418p"
"chromosome A","NC_006067.1",52595,53119,"+",2905836,,"YALI0_A00440g","XP_499617.1",174,"YALI0A00440p"
"chromosome A","NC_006067.1",57156,59981,"+",2905928,,"YALI0_A00506g","XP_499618.1",941,"YALI0A00506p"
"chromosome A","NC_006067.1",61589,63178,"-",2905963,,"YALI0_A00528g","XP_499619.1",529,"YALI0A00528p"
"chromosome A","NC_006067.1",65426,67021,"+",2906441,,"YALI0_A00550g","XP_499620.1",531,"YALI0A00550p"
"chromosome A","NC_006067.1",67134,69045,"-",2906241,,"YALI0_A00572g","XP_499621.1",466,"YALI0A00572p"
"chromosome A","NC_006067.1",70418,71707,"-",2906083,,"YALI0_A00594g","XP_499622.1",429,"YALI0A00594p"
"chromosome A","NC_006067.1",72422,76250,"-",2906235,,"YALI0_A00616g","XP_499623.1",1189,"YALI0A00616p"
"chromosome A","NC_006067.1",77194,77865,"+",2905995,,"YALI0_A00638g","XP_499624.1",223,"YALI0A00638p"
"chromosome A","NC_006067.1",79377,80057,"-",2905993,,"YALI0_A00660g","XP_499625.1",226,"YALI0A00660p"
"chromosome A","NC_006067.1",83813,86167,"+",2905966,,"YALI0_A00682g","XP_499626.1",784,"YALI0A00682p"
"chromosome A","NC_006067.1",91457,94501,"+",2905982,,"YALI0_A00759g","XP_499627.1",985,"YALI0A00759p"
"chromosome A","NC_006067.1",94859,95452,"-",2905934,,"YALI0_A00781g","XP_499628.1",197,"YALI0A00781p"
"chromosome A","NC_006067.1",100124,103264,"-",2905777,,"YALI0_A00803g","XP_499629.1",1046,"YALI0A00803p"
"chromosome A","NC_006067.1",106356,107765,"+",2905911,,"YALI0_A00825g","XP_499630.1",469,"YALI0A00825p"
"chromosome A","NC_006067.1",108301,109344,"-",2906327,,"YALI0_A00847g","XP_499631.1",347,"YALI0A00847p"
"chromosome A","NC_006067.1",109884,111338,"-",2906329,,"YALI0_A00869g","XP_499632.1",484,"YALI0A00869p"
"chromosome A","NC_006067.1",112988,114379,"-",2905898,,"YALI0_A00891g","XP_499633.1",463,"YALI0A00891p"
"chromosome A","NC_006067.1",116949,119207,"+",2906289,,"YALI0_A00913g","XP_499634.1",752,"YALI0A00913p"
"chromosome A","NC_006067.1",121112,121432,"-",2906291,,"YALI0_A00935g","XP_499635.2",106,"YALI0A00935p"
"chromosome A","NC_006067.1",121983,122435,"-",2906313,,"YALI0_A00957g","XP_499636.2",150,"YALI0A00957p"
"chromosome A","NC_006067.1",124225,125673,"+",2905808,,"YALI0_A00979g","XP_499637.1",482,"YALI0A00979p"
"chromosome A","NC_006067.1",127330,128412,"+",2906324,,"YALI0_A01001g","XP_499638.1",360,"YALI0A01001p"
"chromosome A","NC_006067.1",136940,140176,"+",2906594,,"YALI0_A01023g","XP_499639.1",1078,"YALI0A01023p"
"chromosome A","NC_006067.1",144254,145369,"+",2905757,,"YALI0_A01045g","XP_499640.1",371,"YALI0A01045p"
"chromosome A","NC_006067.1",147528,147989,"-",2906201,,"YALI0_A01067g","XP_499641.1",153,"YALI0A01067p"
"chromosome A","NC_006067.1",151111,153015,"+",2906591,,"YALI0_A01089g","XP_499642.1",634,"YALI0A01089p"
"chromosome A","NC_006067.1",154616,155143,"-",2906456,,"YALI0_A01111g","XP_499643.1",175,"YALI0A01111p"
