,regulator,gene_name,sacc_gene_id,gene_id
0,GAL4,GAL10,YBR019C,YALI0_E26829g
1,GAL4,GAL1,YBR020W,YALI0_C13090g
2,GAL4,GAL3,YDR009W,YALI0_C13090g
3,GAL4,SUR7,YML052W,YALI0_F12331g
4,GAL4,SWD1,YAR003W,YALI0_C22858g
5,GAL4,YIH1,YCR059C,YALI0_C01331g
6,GAL4,MZM1,YDR493W,YALI0_A07799g
7,GAL4,YIP1,YGR172C,YALI0_D04829g
8,GAL4,GCY1,YOR120W,YALI0_B07117g
9,GAL4,PMA2,YPL036W,YALI0_B22066g
10,ABF1,HIS7,YBR248C,YALI0_C07128g
11,ABF1,IPP1,YBR011C,YALI0_F13541g
12,ABF1,RPL2B,YIL018W,YALI0_F24739g
13,ABF1,QCR8,YJL166W,YALI0_F01771g
14,ABF1,TRP3,YKL211C,YALI0_D11110g
15,ABF1,PIK1,YNL267W,YALI0_B02376g
16,ABF1,NOP12,YOL041C,YALI0_F05918g
17,ABF1,EFB1,YAL003W,YALI0_F09669g
18,ABF1,CDC24,YAL041W,YALI0_C14828g
19,ABF1,ERV46,YAL042W,YALI0_C13112g
20,ABF1,ACS1,YAL054C,YALI0_F05962g
21,ABF1,SLA1,YBL007C,YALI0_A07018g
22,ABF1,MRPL16,YBL038W,YALI0_C18139g
23,ABF1,URA7,YBL039C,YALI0_B05368g
24,ABF1,RPL4A,YBR031W,YALI0_C06820g
25,ABF1,NGR1,YBR212W,YALI0_D04917g
26,ABF1,BSD2,YBR290W,YALI0_F26301g
28,ABF1,NOP1,YDL014W,YALI0_C15873g
29,ABF1,SYO1,YDL063C,YALI0_F18172g
30,ABF1,MSS116,YDR194C,YALI0_E01782g
31,ABF1,AHA1,YDR214W,YALI0_B15840g
32,ABF1,RTN1,YDR233C,YALI0_B01738g
33,ABF1,MNN10,YDR245W,YALI0_E25894g
34,ABF1,GCN2,YDR283C,YALI0_B14949g
35,ABF1,SSF2,YDR312W,YALI0_A12155g
36,ABF1,RPB7,YDR404C,YALI0_D11627g
37,ABF1,NHX1,YDR456W,YALI0_F02321g
38,ABF1,MRPL28,YDR462W,YALI0_C16478g
39,ABF1,FCY2,YER056C,YALI0_F30569g
40,ABF1,SMX2,YFL017W-A,YALI0_D01155g
41,ABF1,LPD1,YFL018C,YALI0_D20768g
42,ABF1,EMP47,YFL048C,YALI0_E06347g
44,ABF1,HNM1,YGL077C,YALI0_A18183g
45,ABF1,MLC1,YGL106W,YALI0_E03388g
46,ABF1,NUP57,YGR119C,YALI0_C23166g
47,ABF1,TYS1,YGR185C,YALI0_C15224g
48,ABF1,TDH3,YGR192C,YALI0_C06369g
49,ABF1,RSM27,YGR215W,YALI0_E15312g
50,ABF1,NAS6,YGR232W,YALI0_C01221g
51,ABF1,HUA1,YGR268C,YALI0_D18062g
52,ABF1,YTA7,YGR270W,YALI0_F23397g
53,ABF1,BGL2,YGR282C,YALI0_B03564g
54,ABF1,CFD1,YIL003W,YALI0_E19074g
55,ABF1,NEO1,YIL048W,YALI0_F01122g
56,ABF1,GPP1,YIL053W,YALI0_F25025g
57,ABF1,MRPL8,YJL063C,YALI0_B17732g
58,ABF1,KRE9,YJL174W,YALI0_F17490g
59,ABF1,MNN11,YJL183W,YALI0_F17402g
60,ABF1,ECM25,YJL201W,YALI0_B19052g
61,ABF1,NTA1,YJR062C,YALI0_D21978g
62,ABF1,RPA12,YJR063W,YALI0_A08151g
63,ABF1,AUR1,YKL004W,YALI0_E16434g
64,ABF1,BYE1,YKL005C,YALI0_F23815g
65,ABF1,MRP49,YKL167C,YALI0_F17600g
66,ABF1,RIX7,YLL034C,YALI0_F21329g
67,ABF1,RNP1,YLL046C,YALI0_F13475g
68,ABF1,HCR1,YLR192C,YALI0_F30305g
69,ABF1,CDC42,YLR229C,YALI0_B15752g
70,ABF1,SEC72,YLR292C,YALI0_D04895g
71,ABF1,VPS33,YLR396C,YALI0_F04125g
72,ABF1,SKY1,YMR216C,YALI0_A18590g
73,ABF1,TAF9,YMR236W,YALI0_E23133g
74,ABF1,UPA2,YMR310C,YALI0_E20669g
75,ABF1,IDH1,YNL037C,YALI0_E05137g
76,ABF1,YIP3,YNL044W,YALI0_A09845g
77,ABF1,ARP5,YNL059C,YALI0_B10538g
78,ABF1,DBP2,YNL112W,YALI0_E27715g
79,ABF1,MLS1,YNL117W,YALI0_E15708g
80,ABF1,PGA2,YNL149C,YALI0_D07766g
81,ABF1,GIS2,YNL255C,YALI0_D12056g
82,ABF1,MRPS18,YNL306W,YALI0_E14124g
83,ABF1,RSM19,YNR037C,YALI0_B22594g
84,ABF1,MIM1,YOL026C,YALI0_B13772g
85,ABF1,STI1,YOR027W,YALI0_C08987g
86,ABF1,DFR1,YOR236W,YALI0_C12771g
87,ABF1,GPN2,YOR262W,YALI0_D19888g
88,ABF1,PUT4,YOR348C,YALI0_B09537g
89,ABF1,SNX3,YOR357C,YALI0_F05456g
90,ABF1,CAR1,YPL111W,YALI0_E07535g
91,ABF1,DSS4,YPR017C,YALI0_E07986g
92,ABF1,THP3,YPR045C,YALI0_F27489g
93,ABF1,BET2,YPR176C,YALI0_E28248g
94,ABF1,NDC80,YIL144W,YALI0_B11814g
95,ABF1,TIM54,YJL054W,YALI0_D24343g
96,ABF1,PAM16,YJL104W,YALI0_F03047g
97,ABF1,MDM35,YKL053C-A,YALI0_F31548g
98,ABF1,RPS21A,YKR057W,YALI0_D13794g
99,ABF1,NAT4,YMR069W,YALI0_B00638g
100,ABF1,ALF1,YNL148C,YALI0_A20504g
101,ABF1,IPI3,YNL182C,YALI0_D13948g
102,ABF1,ATP23,YNR020C,YALI0_F10769g
103,ABF1,MED7,YOL135C,YALI0_B17424g
104,ABF1,SSA1,YAL005C,YALI0_D08184g
105,ABF1,CDC19,YAL038W,YALI0_F09185g
106,ABF1,SDS24,YBR214W,YALI0_E17325g
107,ABF1,VBA2,YBR293W,YALI0_E18095g
108,ABF1,NDE2,YDL085W,YALI0_F25135g
109,ABF1,ACT1,YFL039C,YALI0_D08272g
110,ABF1,THI4,YGR144W,YALI0_A09768g
111,ABF1,FSH1,YHR049W,YALI0_D16940g
112,ABF1,HSP150,YJL159W,YALI0_C02981g
113,ABF1,ATP2,YJR121W,YALI0_B03982g
114,ABF1,RAM2,YKL019W,YALI0_B16126g
115,ABF1,PDC1,YLR044C,YALI0_D10131g
116,ABF1,SIS1,YNL007C,YALI0_F00880g
117,ABF1,YDJ1,YNL064C,YALI0_F00880g
118,ABF1,SCS22,YBL091C-A,YALI0_D05291g
119,ABF1,ATP18,YML081C-A,YALI0_D17490g
120,ABF1,NSL1,YPL233W,YALI0_B04466g
121,ABF1,ESF1,YDR365C,YALI0_C17083g
122,ABF1,NFU1,YKL040C,YALI0_B00264g
123,ABF1,HRB1,YNL004W,YALI0_E14058g
124,ABF1,IES6,YEL044W,YALI0_E25718g
125,ABF1,AAT2,YLR027C,YALI0_F29337g
126,ABF1,ESS1,YJR017C,YALI0_B14663g
127,ABF1,ISU2,YOR226C,YALI0_B04928g
128,ABF1,RPS29B,YDL061C,YALI0_B08748g
129,ABF1,MNN9,YPL050C,YALI0_B12518g
130,ABF1,SNA2,YDR525W-A,YALI0_D16665g
131,ABF1,CHO1,YER026C,YALI0_D08514g
132,ABF1,GAL83,YER027C,YALI0_E13926g
133,ABF1,DFG10,YIL049W,YALI0_E07788g
134,ABF1,STE14,YDR410C,YALI0_E22913g
135,ABF1,RGT2,YDL138W,YALI0_C06424g
136,ABF1,DFM1,YDR411C,YALI0_F19250g
137,ABF1,WTM1,YOR230W,YALI0_D26279g
138,ABF1,PRO2,YOR323C,YALI0_E30481g
139,ABF1,DPP1,YDR284C,YALI0_B14531g
140,ABF1,MRP1,YDR347W,YALI0_B16742g
141,ABF1,ADH3,YMR083W,YALI0_E17787g
142,ABF1,SSB1,YDL229W,YALI0_A00132g
143,ABF1,COY1,YKL179C,YALI0_C18821g
144,ABF1,NIF3,YGL221C,YALI0_B11704g
145,ABF1,HSP60,YLR259C,YALI0_F02805g
147,ABF1,TOM40,YMR203W,YALI0_F31207g
148,ABF1,VMA13,YPR036W,YALI0_E08617g
149,ABF1,JEN1,YKL217W,YALI0_D24607g
150,ABF1,SMD1,YGR074W,YALI0_A04961g
151,ABF1,ILV5,YLR355C,YALI0_D03135g
152,ABF1,LOT5,YKL183W,YALI0_E19052g
153,ABF1,ADH2,YMR303C,YALI0_A16379g
154,ABF1,VRG4,YGL225W,YALI0_F21791g
155,ABF1,TAH11,YJR046W,YALI0_C17369g
156,ABF1,HYP2,YEL034W,YALI0_C06886g
157,ABF1,ANP1,YEL036C,YALI0_C04004g
158,ABF1,TML25,YLR118C,YALI0_A18337g
159,ABF1,HXK2,YGL253W,YALI0_B22308g
160,ABF1,ADO1,YJR105W,YALI0_F23463g
161,ABF1,SSC1,YJR045C,YALI0_C17347g
162,ABF1,LEU4,YNL104C,YALI0_B07447g
163,ABF1,PRP21,YJL203W,YALI0_B21032g
164,ABF1,ACP1,YKL192C,YALI0_D14850g
165,ABF1,FUS3,YBL016W,YALI0_E23496g
166,ABF1,YCH1,YGR203W,YALI0_D18293g
167,ABF1,TIM23,YNR017W,YALI0_F29183g
169,ABF1,TOA1,YOR194C,YALI0_C10472g
170,ABF1,TRM7,YBR061C,YALI0_F16049g
171,ABF1,NOP15,YNL110C,YALI0_F14245g
172,ABF1,KTR4,YBR199W,YALI0_E01892g
173,ABF1,BDF2,YDL070W,YALI0_E20537g
174,ABF1,MAP2,YBL091C,YALI0_D05159g
175,ABF1,HEK2,YBL032W,YALI0_A18161g
176,ABF1,PRE7,YBL041W,YALI0_D06523g
177,ABF1,SCT1,YBL011W,YALI0_C00209g
178,ABF1,VPS54,YDR027C,YALI0_B16822g
179,ABF1,ASE1,YOR058C,YALI0_F15763g
180,ABF1,SKI2,YLR398C,YALI0_A13519g
181,ABF1,MRPL32,YCR003W,YALI0_C21109g
182,ABF1,ATO3,YDR384C,YALI0_F13145g
183,ABF1,MET5,YJR137C,YALI0_D11176g
184,ABF1,LAC1,YKL008C,YALI0_F06424g
185,ABF1,MAE1,YKL029C,YALI0_E18634g
186,ABF1,PRC1,YMR297W,YALI0_A18810g
187,ABF1,NOB1,YOR056C,YALI0_F15829g
188,ABF1,RLF2,YPR018W,YALI0_F21637g
189,ABF1,GCD6,YDR211W,YALI0_B15708g
190,ABF1,UTP25,YIL091C,YALI0_D03960g
191,ABF1,ADH1,YOL086C,YALI0_A16379g
192,ABF1,SUP45,YBR143C,YALI0_F02453g
193,RAP1,ADE57,YGL234W,YALI0_F21010g
194,RAP1,LDS1,YAL018C,YALI0_C19943g
195,RAP1,CDC19,YAL038W,YALI0_F09185g
196,RAP1,ACS1,YAL054C,YALI0_F05962g
197,RAP1,FMT1,YBL013W,YALI0_F06820g
198,RAP1,RPL19B,YBL027W,YALI0_E25025g
199,RAP1,SSA3,YBL075C,YALI0_D22352g
200,RAP1,ALG3,YBL082C,YALI0_E03190g
201,RAP1,RPL23A,YBL087C,YALI0_D10263g
202,RAP1,ROX3,YBL093C,YALI0_E10351g
203,RAP1,RPS11B,YBR048W,YALI0_F20482g
204,RAP1,HSP26,YBR072W,YALI0_C03465g
205,RAP1,RPL19A,YBR084C-A,YALI0_E25025g
206,RAP1,VID24,YBR105C,YALI0_C17897g
207,RAP1,RAD16,YBR114W,YALI0_F01232g
208,RAP1,RPL21A,YBR191W,YALI0_F05522g
209,RAP1,HIS4,YCL030C,YALI0_A15950g
210,RAP1,PGK1,YCR012W,YALI0_D12400g
211,RAP1,CPR4,YCR069W,YALI0_A17314g
212,RAP1,GPM2,YDL021W,YALI0_B02728g
213,RAP1,GPD1,YDL022W,YALI0_B02948g
214,RAP1,RPL13A,YDL082W,YALI0_B12826g
215,RAP1,CDC48,YDL126C,YALI0_F12155g
216,RAP1,RPP1B,YDL130W,YALI0_B12804g
217,RAP1,RPL35A,YDL191W,YALI0_A09922g
218,RAP1,SSB1,YDL229W,YALI0_A00132g
219,RAP1,GCV1,YDR019C,YALI0_F02849g
220,RAP1,LCB2,YDR062W,YALI0_F15345g
221,RAP1,PMP3,YDR276C,YALI0_D16665g
222,RAP1,RPL12B,YDR418W,YALI0_D13882g
223,RAP1,RPL27B,YDR471W,YALI0_B05896g
225,RAP1,HYP2,YEL034W,YALI0_C06886g
226,RAP1,RPL12A,YEL054C,YALI0_D13882g
227,RAP1,HAT2,YEL056W,YALI0_A01331g
228,RAP1,RPL34A,YER056C-A,YALI0_C05082g
229,RAP1,ICL1,YER065C,YALI0_C16885g
230,RAP1,RPS24A,YER074W,YALI0_D13728g
231,RAP1,RPL23B,YER117W,YALI0_D10263g
232,RAP1,AVT6,YER119C,YALI0_D11836g
234,RAP1,QCR6,YFR033C,YALI0_F24673g
235,RAP1,RPL30,YGL030W,YALI0_E23562g
236,RAP1,RPL28,YGL103W,YALI0_B21076g
237,RAP1,RPS2,YGL123W,YALI0_E14465g
238,RAP1,RPL9A,YGL147C,YALI0_E29073g
239,RAP1,RPL26B,YGR034W,YALI0_E21219g
240,RAP1,MUP1,YGR055W,YALI0_F25795g
241,RAP1,RPL11B,YGR085C,YALI0_B15103g
242,RAP1,RNR4,YGR180C,YALI0_B03630g
243,RAP1,YCH1,YGR203W,YALI0_D18293g
244,RAP1,ADE3,YGR204W,YALI0_E01056g
245,RAP1,ENO1,YGR254W,YALI0_F16819g
246,RAP1,RAD2,YGR258C,YALI0_D20240g
247,RAP1,RPL14B,YHL001W,YALI0_E00550g
248,RAP1,RPS20,YHL015W,YALI0_E20581g
249,RAP1,OCA5,YHL029C,YALI0_C00473g
250,RAP1,RPL8A,YHL033C,YALI0_F24695g
251,RAP1,TRM5,YHR070W,YALI0_D05489g
252,RAP1,CIA2,YHR122W,YALI0_B14707g
253,RAP1,GND1,YHR183W,YALI0_B15598g
254,RAP1,RPS4B,YHR203C,YALI0_D12903g
255,RAP1,PDR11,YIL013C,YALI0_F17996g
256,RAP1,RPL2B,YIL018W,YALI0_F24739g
257,RAP1,MET30,YIL046W,YALI0_B09977g
258,RAP1,RPL34B,YIL052C,YALI0_C05082g
259,RAP1,SGA1,YIL099W,YALI0_E05203g
260,RAP1,QDR2,YIL121W,YALI0_F03751g
261,RAP1,RPL16A,YIL133C,YALI0_C09218g
262,RAP1,RPL40A,YIL148W,YALI0_F09790g
263,RAP1,DAL7,YIR031C,YALI0_E15708g
264,RAP1,CHM7,YJL049W,YALI0_D09999g
265,RAP1,PRY1,YJL079C,YALI0_D06149g
266,RAP1,MRPL49,YJL096W,YALI0_F08877g
267,RAP1,ASF1,YJL115W,YALI0_A01375g
268,RAP1,NCA3,YJL116C,YALI0_E33539g
269,RAP1,LCB3,YJL134W,YALI0_E21197g
270,RAP1,RPL17B,YJL177W,YALI0_C15895g
271,RAP1,ACO2,YJL200C,YALI0_E14949g
272,RAP1,BNA1,YJR025C,YALI0_B02852g
273,RAP1,CYC1,YJR048W,YALI0_D09273g
274,RAP1,RPS5,YJR123W,YALI0_F08569g
275,RAP1,HOM6,YJR139C,YALI0_D01089g
276,RAP1,MAE1,YKL029C,YALI0_E18634g
277,RAP1,PTM1,YKL039W,YALI0_A18986g
278,RAP1,MDH1,YKL085W,YALI0_D16753g
279,RAP1,SRX1,YKL086W,YALI0_D16709g
280,RAP1,NNR2,YKL151C,YALI0_D11308g
281,RAP1,RPS27A,YKL156W,YALI0_E34826g
282,RAP1,RPL17A,YKL180W,YALI0_C15895g
283,RAP1,RPL40B,YKR094C,YALI0_F09790g
284,RAP1,RPL8B,YLL045C,YALI0_F24695g
285,RAP1,YCT1,YLL055W,YALI0_F16423g
286,RAP1,CMS1,YLR003C,YALI0_A19140g
287,RAP1,RPL15A,YLR029C,YALI0_D24387g
288,RAP1,RPS0B,YLR048W,YALI0_A18205g
289,RAP1,LCL2,YLR104W,YALI0_B07249g
290,RAP1,RPS31,YLR167W,YALI0_F08745g
291,RAP1,IDP2,YLR174W,YALI0_F04095g
292,RAP1,RPL37A,YLR185W,YALI0_E01452g
293,RAP1,FRE1,YLR214W,YALI0_D26081g
294,RAP1,BNA5,YLR231C,YALI0_B22902g
295,RAP1,SEC22,YLR268W,YALI0_D21956g
296,RAP1,RPS30A,YLR287C-A,YALI0_F14663g
297,RAP1,RPP0,YLR340W,YALI0_B14146g
298,RAP1,RPL26A,YLR344W,YALI0_E21219g
299,RAP1,RPS22B,YLR367W,YALI0_D05731g
300,RAP1,DUS3,YLR401C,YALI0_E26048g
301,RAP1,RPL6B,YLR448W,YALI0_E27830g
302,RAP1,SST2,YLR452C,YALI0_D18018g
303,RAP1,RPS18B,YML026C,YALI0_D20614g
304,RAP1,SUR7,YML052W,YALI0_F12331g
305,RAP1,RPS1B,YML063W,YALI0_F05676g
