,gene_a,gene_b,score_a2b,score_b2a
0,YALI0_A00110g,YALI1_A00058g,1792.0,1792.0
1,YALI0_A00132g,YALI1_A00102g,1241.0,1241.0
2,YALI0_A00154g,YALI1_A00148g,748.0,748.0
3,YALI0_A00176g,YALI1_A00204g,259.0,259.0
4,YALI0_A00198g,YALI1_A00241g,521.0,521.0
5,YALI0_A00212g,YALI1_A00252g,685.0,685.0
6,YALI0_A00264g,YALI1_A00309g,2223.0,2223.0
7,YALI0_A00286g,YALI1_A00325g,759.0,759.0
8,YALI0_A00330g,YALI1_A00375g,452.0,452.0
9,YALI0_A00352g,YALI1_A00406g,1743.0,1743.0
10,YALI0_A00369g,YALI1_A00447g,540.0,540.0
11,YALI0_A00374g,YALI1_A00468g,269.0,266.0
12,YALI0_A00396g,YALI1_A00504g,965.0,965.0
13,YALI0_A00418g,YALI1_A00538g,1100.0,1100.0
14,YALI0_A00440g,YALI1_A00558g,352.0,352.0
15,YALI0_A00506g,YALI1_A00601g,1936.0,1936.0
16,YALI0_A00528g,YALI1_A00661g,1081.0,1081.0
17,YALI0_A00550g,YALI1_A00683g,1101.0,1101.0
18,YALI0_A00572g,YALI1_A00715g,887.0,887.0
19,YALI0_A00594g,YALI1_A00746g,864.0,864.0
20,YALI0_A00616g,YALI1_A00789g,2415.0,2415.0
21,YALI0_A00638g,YALI1_A00801g,457.0,457.0
22,YALI0_A00660g,YALI1_A00829g,443.0,443.0
23,YALI0_A00682g,YALI1_A00867g,1469.0,1469.0
24,YALI0_A00759g,YALI1_A00947g,1853.0,1853.0
25,YALI0_A00781g,YALI1_A00983g,405.0,405.0
26,YALI0_A00803g,YALI1_A01061g,2113.0,2113.0
27,YALI0_A00825g,YALI1_A01093g,946.0,946.0
28,YALI0_A00847g,YALI1_A01122g,706.0,706.0
29,YALI0_A00869g,YALI1_A01143g,990.0,990.0
30,YALI0_A00891g,YALI1_A01173g,967.0,967.0
31,YALI0_A00913g,YALI1_A01198g,1543.0,1543.0
32,YALI0_A00935g,YALI1_A01240g,109.0,109.0
33,YALI0_A00957g,YALI1_A01249g,311.0,311.0
34,YALI0_A00979g,YALI1_A01267g,985.0,985.0
35,YALI0_A01001g,YALI1_A01298g,742.0,742.0
36,YALI0_A01023g,YALI1_A01394g,2208.0,2208.0
37,YALI0_A01045g,YALI1_A01468g,766.0,766.0
38,YALI0_A01067g,YALI1_A01505g,317.0,317.0
39,YALI0_A01089g,YALI1_A01537g,855.0,855.0
40,YALI0_A01111g,YALI1_A01577g,358.0,358.0
41,YALI0_A01133g,YALI1_A01602g,1121.0,1121.0
42,YALI0_A01155g,YALI1_A01628g,844.0,844.0
43,YALI0_A01265g,YALI1_A01670g,1027.0,1027.0
44,YALI0_A01331g,YALI1_A01717g,823.0,823.0
45,YALI0_A01353g,YALI1_A01766g,1530.0,1530.0
46,YALI0_A01375g,YALI1_A01777g,518.0,518.0
47,YALI0_A01397g,YALI1_A01794g,1942.0,1942.0
48,YALI0_A01419g,YALI1_A01824g,259.0,259.0
49,YALI0_A01441g,YALI1_A01842g,735.0,735.0
50,YALI0_A01452g,YALI1_A01864g,202.0,202.0
